,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,phase,prompt,task,cause,result
0,11,3,"[{""page_index"":0,""viewing_time"":7488.800000000745},{""page_index"":1,""viewing_time"":34936.90000000037},{""page_index"":2,""viewing_time"":9280.900000000373},{""page_index"":3,""viewing_time"":8199.39999999851}]",59907.10000000149,instructions,0,59912,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"""","""","""","""","""","""",""""
1,11,3,"""",50598.5,survey-text,1,110539,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Q0"":""I commit to do my best to try to write high-quality explanations. I recognize that if I do not try my best to generate an explanation for each situation, I may not be paid. ""}","""","""","""","""","""",""""
2,11,3,"[{""page_index"":0,""viewing_time"":2147.2000000011176}]",2147.60000000149,instructions,2,112688,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"""","""","""","""","""","""",""""
3,11,3,"""",11533.700000001118,survey-multi-choice,3,124228,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Q0"":""Explanations for events."",""Q1"":""By writing text."",""Q2"":""Not making a good attempt to write a high-quality answer for each task.""}","[0,1,2]","""","""","""","""",""""
4,11,3,"[{""page_index"":0,""viewing_time"":1429.8999999985099}]",1430.0999999996277,instructions,4,125661,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"""","""","""","""","""","""",""""
5,11,3,"""",45942.0,survey-text,5,171610,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Explanation"":""perhaps the cymbal that was hit was hit with a defective drum stick. A padded drum stick or a cymbal that is muffled could cause it not to clang. ""}","""",test,"If a cymbal is hit with a drum stick, then it clangs. But suppose a cymbal is hit with a drum stick, and then it does not clang.","generate, unconstrained","""",""""
6,11,3,"""",33220.79999999888,survey-text,6,204837,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Explanation"":""if they landed on their wrist at just the right angle they could bend it a different way and not break their wrists. ""}","""",test,"If someone falls from a high height onto their outstretched arm, then they will break their wrist. But suppose someone falls from a high height onto their outstretched arm, and then they do not break their wrist.","generate, unconstrained","""",""""
7,11,3,"""",25072.800000000745,survey-text,7,229915,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Explanation"":""the slushie did not stain the carpet because the carpet was made with stain resistant material. ""}","""",test,"If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","generate, unconstrained","""",""""
8,11,3,"""",19306.70000000112,survey-text,8,249226,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Explanation"":""the water may not have frozen because the freezer was not turned on or cold enough to cause it to freeze. ""}","""",test,"If water is put in the freezer, then it turns into ice. But suppose water is put in the freezer, and then it does not turn into ice.","generate, unconstrained","""",""""
9,11,3,"""",24315.70000000112,survey-text,9,273548,40,61b38ae9363f15657027ed01,61ba1f38eeeea1a4ff8eb1d9,61697550d3595ef0cc0c1b6e,61ba1f38eeeea1a4ff8eb1d9,"{""Explanation"":""the gates may have been opened by someone else or the animals learned to open them.""}","""",test,"If the the gates in a zoo are closed, then the zoo animals do not escape. But suppose the gates in a zoo are closed, and then the animals do escape.","generate, unconstrained","""",""""
